id,title
2008-05/aga-pop053008,Prevalence of pre-cancerous masses in the colon same in patients in their 40s and 50s
2008-05/e-nfo052708,New form of ECT is as effective as older types but without cognitive side effects
2008-05/jaaj-add050808,Anti-inflammatory drugs do not improve cognitive function in older adults
2008-05/jaaj-mmw052208,Many men with low testosterone levels do not receive treatment
2008-05/jaaj-mot050108,Much of the increased risk of death from smoking reduced within several years after quitting
2008-05/jotn-ait052208,Also in the May 27 JNCI
2008-05/uoc-cle051908,Childhood lead exposure associated with criminal behavior in adulthood
2008-05/w-dsd052908,Doula support during labor reduces cesarean rates and epidurals
2008-06/aaop-ruh061008,Researchers uncover higher prevalence of periodontal disease in rheumatoid arthritis patients
2008-06/asop-csp062408,"Cosmetic surgery procedures to exceed 55 million in 2015, ASPS study predicts"
2008-06/chop-kcm053008,Kinship care more beneficial than foster care
2008-06/uom-cas061808,Computers as safe as medical experts in prescribing blood thinning drugs
2008-06/w-snc060908,Specialist nurses can play a key role in supporting patients having radiotherapy
2008-06/w-soa060208,Study of anti-CD20 therapy effective B cell depletion
2008-07/acoc-jdr072208,Japanese diet rich in fish may hold secret to healthy heart
2008-07/acs-nfc070108,News from Cancer: Risk factors for deadly form of lymphoma
2008-07/bmj-mot070208,Malaria on the increase in the UK
2008-07/e-dmi071608,D-cycloserine may improve behavioral therapy treatment for anxiety
2008-07/e-rfa071708,Researchers find a partially shared genetic profile between schizophrenia and bipolar disorder
2008-07/esfh-sfa072208,Soy foods are associated with lower sperm concentrations
2008-07/eu-pri072108,Promising results in deep brain stimulation for patients with treatment-resistant depression
2008-07/hzm--atr071208,Allergy to road traffic
2008-07/plos-rtw071408,Resistance to widely-used antibiotics among inhabitants of remote South American villages
2008-07/uoc-mri070208,Major rise in Caesarean sections linked to impaired womb function with age
2008-07/uom-mpm072308,Making patients move requires the right exercise advice
2008-07/uomh-aev071608,"After ER visit, many patients in a fog, U-M study finds"
2008-07/w-rhp070908,Research highlights problems of predicting birthweights in obese mothers
2008-07/wt-mmd071808,Malaria Millennium Development Goal 'unlikely to be met'
2008-08/aaon-elt081208,Epilepsy linked to higher risk of drowning
2008-08/aaon-pfm080508,Physical frailty may be linked to Alzheimer's disease
2008-08/aha-pts081408,"Poor teen sleep habits may raise blood pressure, lead to CVD"
2008-08/bc-csu081508,Cancer signatures uncovered
2008-08/bc-ogr080708,Obesity genes revealed
2008-08/bmj-ehs081408,"English health-care system failing to provide basic care, shows major survey"
2008-08/bu-rfh082108,Researchers find high levels of toxic metals in herbal medicine products sold online
2008-08/cwru-cwr081208,Case Western Reserve University study finds caregivers of spouses with dementia enjoy life less
2008-08/e-msp082608,Medication slows progression of myopia in children
2008-08/jaaj-fcs080708,Former child soldiers of Nepal at increased risk for range of mental health problems
2008-08/jaaj-ipu073108,International panel updates treatment guidelines for HIV infection
2008-08/jaaj-lfe080708,Liberian fighters exposed to sexual violence have more mental health disorders after war
2008-08/jaaj-rea080708,Refractive errors affect vision for half of American adults
2008-08/jaaj-rng080708,"Reserve, National Guard at higher risk of alcohol-related problems after returning from combat"
2008-08/jaaj-scv081408,"Survey compares views of trauma professionals, the public on dying from injuries"
2008-08/jhmi-lvd080708,Low vitamin D levels pose large threat to health
2008-08/jotn-pio080708,Prostatectomy improves outcome of some men with prostate cancer over watchful waiting
2008-08/plos-tfm081408,Toxoplasmosis found more severe in Brazil compared to Europe
2008-09/acs-sel090508,Study examines lung cancer among lifelong nonsmokers
